String Index	Text
WarrivAct1IntroGossip1	45\nGreetings, stranger. I'm not surprised \nto see your kind here. Many \nadventurers have traveled this way \nsince the recent troubles began.\n \nNo doubt you've heard about the \ntragedy that befell the town of \nTristram. Some say that Diablo, the \nLord of Terror, walks the world again.\n \nI don't know if I believe that, but a Dark \nWanderer did travel this route a few \nweeks ago. He was headed east to the \nmountain pass guarded by the Rogue \nMonastery.\n \nMaybe it's nothing, but evil seems to \nhave trailed in his wake. You see, \nshortly after the Wanderer went \nthrough, the Monastery's Gates to the \npass were closed and strange \ncreatures began ravaging the \ncountryside.\n \nUntil it's safer outside the camp and the \ngates are re-opened, I'll remain here \nwith my caravan. I hope to leave for \nLut Gholein before the shadow that fell \nover Tristram consumes us all.  If \nyou're still alive then, I'll take you \nalong.\n \nYou should talk to Akara, too. She \nseems to be the leader of this camp. \nMaybe she can tell you more.\n
WarrivAct1IntroPalGossip1	45\nWell met, noble Paladin. It's been a \nwhile since I've seen any of your kind in \nthe west. It would be an honor to aid \nyou in any way that I can.\n \nNo doubt you've heard about the \ntragedy that befell the town of \nTristram. Some say that Diablo, the \nLord of Terror, walks the world again.\n \nI don't know if I believe that, but a Dark \nWanderer did travel this route a few \nweeks ago. He was headed east to the \nmountain pass guarded by the Rogue \nMonastery.\n \nMaybe it's nothing, but evil seems to \nhave trailed in his wake. You see, \nshortly after the Wanderer went \nthrough, the Monastery's Gates to the \npass were closed and strange \ncreatures began ravaging the \ncountryside.\n \nUntil it's safer outside the camp and the \ngates are re-opened, I'll remain here \nwith my caravan. I hope to leave for \nLut Gholein before the shadow that fell \nover Tristram consumes us all.  If \nyou're still alive then, I'll take you \nalong.\n \nYou should talk to Akara, too. She \nseems to be the leader of this camp. \nMaybe she can tell you more.\n
WarrivGossip1	51\nI've been leading my trade caravan \nacross the eastern deserts for more \nthan twenty years now. I've been \nattacked by bandits and outlaws more \ntimes than I can remember. But never \nwhen a Paladin accompanied me. \n \nIndeed, your Order has saved me from \nlosing a small fortune over the years. I \njust hope you can discover what's \ngoing on around here and get the \nGates to the East opened up!\n
WarrivGossip2	85\nCain seems to have great wisdom \nregarding the supernatural. I hope I \nnever live to be that wise...\n
WarrivGossip3	58\nAkara is the Rogues' High Priestess. She \nsells the few magic items in her \npossession and can even heal your \nwounds. She is very wise and will help \nyou if she can.\n
WarrivGossip4	66\nThe fiery Kashya commands the Rogue \narchers in battle. I've only spoken to \nher a few times, though. I get the \nfeeling that she doesn't like outsiders \nvery much.\n
WarrivGossip5	88\nCharsi seems to be a very sweet girl. \nShe's the smith around here and can \nhelp you by trading weapons and \narmor.\n
WarrivGossip6	55\nGheed is a wandering merchant of \nquestionable character who is traveling \nalong with my caravan to the East. He \nwill buy and sell most anything.\n \nHe's greedy, but his wares are beyond \nreproach. I would suggest keeping both \neyes open when you deal with him.\n
WarrivGossip7	71\nTo the east are lands of great \nmystery... and the Jewel City of the \nDesert, Lut Gholein.\n
WarrivGossip8	68\nI'll gladly take you eastward, if you can \ndrive the Evil from the Monastery.  \nThen, the Rogues may re-open the pass \nthrough the mountains.\n
WarrivGossip9	70\nIt's easy to become lost in the \nwilderness on the way to the Citadel. \nAfter you have come to the Cairn \nStones, you must remember that the \npath continues through the caves.\n
